Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Moritz Wagner,45,0,564,7.6,15.2,0.5,2.6,7.9,0.331,5.0,7.3,0.684,4.0,5.0,0.797,1.4,5.6,7.0,3.1,0.8,0.6,2.0,5.2,21.8
Ish Wainright,27,0,201,3.8,10.4,0.362,1.6,5.6,0.29,2.1,4.8,0.444,0.4,0.9,0.4,3.4,2.9,6.3,1.6,1.4,0.7,1.8,5.7,9.5
Kemba Walker,33,33,853,5.7,14.1,0.401,2.7,7.5,0.365,2.9,6.6,0.442,2.1,2.5,0.817,0.5,3.9,4.4,4.9,1.1,0.2,1.9,1.5,16.1
Lonnie Walker IV,50,6,1133,6.4,16.6,0.388,2.2,7.6,0.294,4.2,9.0,0.466,2.4,2.8,0.831,0.4,3.7,4.0,3.7,1.1,0.5,1.7,2.3,17.4
M.J. Walker,2,0,8,0.0,18.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,4.5,4.5,4.5,9.0,0.0,0.0,4.5,0.0
Derrick Walton,3,3,108,2.0,8.7,0.231,1.0,4.3,0.231,1.0,4.3,0.231,1.3,1.3,1.0,0.7,2.7,3.3,7.0,2.3,1.3,3.7,2.7,6.3
Brad Wanamaker,23,2,320,3.2,8.7,0.364,0.5,1.9,0.235,2.7,6.8,0.4,2.6,2.8,0.92,0.7,3.7,4.4,6.2,0.8,0.7,2.6,5.1,9.3
Duane Washington Jr.,24,7,505,6.1,16.0,0.384,2.9,8.2,0.348,3.3,7.8,0.422,1.5,1.9,0.808,0.1,3.4,3.5,3.5,0.8,0.1,1.8,2.1,16.6
P.J. Washington,39,4,958,5.1,11.5,0.446,2.7,6.9,0.386,2.4,4.5,0.537,1.6,2.2,0.729,1.9,6.1,8.0,3.0,1.1,1.3,2.0,3.6,14.5
Yuta Watanabe,23,4,353,4.2,10.5,0.398,2.0,5.8,0.351,2.1,4.7,0.457,1.4,2.7,0.538,1.4,5.7,7.1,1.5,0.7,1.0,1.6,3.2,11.8
Tremont Waters,3,0,50,2.9,10.1,0.286,1.4,6.5,0.222,1.4,3.6,0.4,0.0,0.0,,0.0,2.9,2.9,5.0,3.6,0.0,2.9,2.9,7.2
Trendon Watford,30,0,364,5.5,9.5,0.583,0.0,1.0,0.0,5.5,8.5,0.651,2.1,3.1,0.677,2.4,6.2,8.6,2.7,0.9,1.4,2.0,4.8,13.2
Paul Watson,9,3,156,2.8,8.1,0.343,1.4,6.0,0.231,1.4,2.1,0.667,0.2,0.5,0.5,0.7,5.5,6.2,1.8,0.7,0.7,0.9,2.3,7.2
Quinndary Weatherspoon,5,0,33,6.5,10.9,0.6,0.0,1.1,0.0,6.5,9.8,0.667,2.2,2.2,1.0,1.1,5.5,6.5,2.2,1.1,1.1,3.3,7.6,15.3
Russell Westbrook,55,55,1902,7.2,16.6,0.435,1.1,3.6,0.298,6.1,13.0,0.473,3.5,5.3,0.665,1.4,6.7,8.1,7.9,1.1,0.3,4.2,3.1,19.0
Coby White,35,12,961,6.1,14.0,0.437,2.7,7.5,0.362,3.4,6.6,0.523,2.0,2.4,0.841,0.4,3.2,3.6,3.4,0.6,0.4,1.6,2.9,17.0
Derrick White,49,48,1486,5.9,13.8,0.426,2.0,6.3,0.314,3.9,7.6,0.519,3.4,3.9,0.869,0.6,3.6,4.2,6.6,1.2,1.0,2.1,2.8,17.1
Hassan Whiteside,43,7,786,6.7,10.7,0.627,0.0,0.0,,6.7,10.7,0.627,3.4,5.2,0.655,4.6,10.0,14.6,0.8,0.6,2.9,1.8,5.9,16.8
Joe Wieskamp,14,0,88,5.3,11.0,0.481,3.3,7.4,0.444,2.0,3.7,0.556,1.2,2.9,0.429,0.8,2.0,2.9,1.6,0.8,0.8,0.4,2.0,15.1
Aaron Wiggins,31,18,680,4.5,9.3,0.486,1.4,4.2,0.329,3.1,5.1,0.615,1.7,2.5,0.702,1.5,4.2,5.8,1.7,1.2,0.3,1.4,3.0,12.1
Andrew Wiggins,50,50,1580,7.7,16.0,0.484,2.6,6.3,0.415,5.1,9.7,0.528,2.5,3.7,0.669,1.1,3.7,4.8,2.4,1.1,0.8,1.7,2.2,20.5
Lindell Wigginton,6,0,25,8.6,8.6,1.0,2.9,2.9,1.0,5.8,5.8,1.0,0.0,0.0,,0.0,1.4,1.4,4.3,2.9,1.4,1.4,4.3,20.2
Brandon Williams,2,0,12,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,12.0,21.0,0.571,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,24.0
Grant Williams,51,13,1165,3.9,8.0,0.483,2.3,5.4,0.429,1.5,2.6,0.595,1.3,1.5,0.896,1.2,3.9,5.1,1.7,0.8,1.1,1.2,3.4,11.4
Kenrich Williams,46,0,995,4.8,10.8,0.448,1.4,4.1,0.351,3.4,6.7,0.508,0.8,1.6,0.523,2.6,4.7,7.3,3.6,1.5,0.3,1.7,2.7,12.0
Lou Williams,37,0,541,6.0,15.0,0.398,1.9,5.3,0.354,4.1,9.8,0.422,3.2,3.6,0.889,0.7,3.1,3.9,4.9,1.3,0.2,1.9,2.4,17.0
Patrick Williams,5,5,125,3.7,6.6,0.565,0.9,1.7,0.5,2.9,4.9,0.588,1.2,1.2,1.0,0.3,2.9,3.2,0.9,0.9,0.6,0.6,2.6,9.5
Robert Williams,45,45,1335,5.3,7.2,0.737,0.0,0.0,0.0,5.3,7.1,0.74,1.4,1.9,0.708,4.7,6.8,11.5,2.4,1.1,2.7,1.4,2.5,11.9
Ziaire Williams,36,15,775,4.8,11.1,0.433,1.8,6.5,0.281,3.0,4.7,0.644,0.9,1.0,0.864,0.5,2.6,3.1,1.5,0.9,0.3,0.9,3.3,12.4
D.J. Wilson,3,1,48,6.0,8.2,0.727,0.0,1.5,0.0,6.0,6.8,0.889,6.0,7.5,0.8,0.7,9.7,10.5,3.0,3.7,0.7,1.5,3.7,18.0
Dylan Windler,37,0,344,3.5,8.1,0.429,2.2,5.7,0.389,1.3,2.4,0.522,0.7,0.9,0.778,1.5,5.0,6.5,2.6,0.9,0.2,1.4,3.9,9.8
Justise Winslow,40,3,565,4.8,10.8,0.45,0.4,2.6,0.171,4.4,8.2,0.539,1.7,2.7,0.605,2.1,7.8,9.9,3.8,1.7,1.3,2.7,3.2,11.8
Cassius Winston,2,0,7,0.0,10.3,0.0,0.0,10.3,0.0,0.0,0.0,,10.3,10.3,1.0,0.0,0.0,0.0,10.3,0.0,0.0,5.1,0.0,10.3
Christian Wood,51,50,1584,7.5,15.6,0.483,2.2,5.8,0.374,5.4,9.8,0.546,3.4,5.5,0.617,2.0,9.9,11.9,2.5,0.9,1.1,2.2,2.9,20.6
Robert Woodard II,12,0,42,1.7,13.7,0.125,0.9,3.4,0.25,0.9,10.3,0.083,1.7,1.7,1.0,4.3,5.1,9.4,2.6,0.9,0.9,0.9,2.6,6.0
Delon Wright,49,5,893,3.1,7.0,0.439,1.0,2.7,0.388,2.0,4.3,0.472,1.3,1.6,0.825,1.3,4.0,5.3,5.0,2.0,0.4,1.3,1.5,8.5
McKinley Wright IV,3,0,9,8.0,12.0,0.667,4.0,8.0,0.5,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,20.0
Moses Wright,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Thaddeus Young,26,1,370,7.2,12.5,0.578,0.0,0.5,0.0,7.2,12.0,0.602,1.0,2.1,0.455,3.9,5.2,9.0,5.7,2.2,0.7,2.9,3.7,15.4
Trae Young,49,49,1692,9.8,21.5,0.458,3.1,8.1,0.379,6.8,13.4,0.506,6.3,7.0,0.894,0.6,3.4,4.1,9.7,1.0,0.1,4.3,1.7,29.0
Omer Yurtseven,39,10,558,6.5,12.5,0.523,0.1,0.5,0.143,6.5,12.0,0.538,2.1,3.2,0.64,4.3,10.8,15.1,2.7,1.0,1.2,2.2,4.4,15.2
Cody Zeller,27,0,355,5.2,9.1,0.567,0.0,0.4,0.0,5.2,8.7,0.593,3.9,5.0,0.776,5.1,7.6,12.7,2.2,0.8,0.6,1.9,5.7,14.2
Ivica Zubac,50,50,1197,5.4,8.3,0.649,0.0,0.0,,5.4,8.3,0.649,3.4,4.7,0.735,3.9,8.1,12.0,1.9,0.7,1.5,2.1,3.7,14.2
